duration,packet_count,byte_count,port,protocol,attack_type
4.37,75,55800,443,2,0
1.82,2116,135424,27428,1,3
16.05,11027,838052,80,1,1
3.02,129,172344,80,1,0
4.58,42,24780,443,1,0
2.25,20,15680,443,1,0
3.33,52,76336,80,2,0
18.25,773,187839,22,1,2
1.75,107,126795,80,1,0
19.27,14206,1264334,80,1,1
3.75,91,10647,443,2,0
0.45,4038,258432,35897,1,3
22.15,1401,261987,22,1,2
1.62,36,27612,80,1,0
4.7,146,68036,80,2,0
4.85,26,25922,443,1,0
2.83,109,81859,443,1,0
0.73,118,62658,80,2,0
4.18,132,21780,443,1,0
4.71,116,165184,443,1,0
1.81,150,159750,443,2,0
1.65,13,3445,443,2,0
2.4,31,14136,80,1,0
4.85,120,153360,80,1,0
2.65,26,18460,443,1,0
8.22,11397,501468,80,1,1
1.47,90,106380,80,2,0
3.99,56,50960,80,2,0
4.82,42,19824,80,1,0
3.68,35,3360,80,1,0
0.6,106,49396,443,2,0
2.8,40,43720,80,2,0
2.78,54,18360,80,2,0
1.56,1816,116224,47659,1,3
1.76,1301,83264,14226,1,3
58.6,1047,124593,22,1,2
0.51,81,37665,443,1,0
1.21,110,56760,80,2,0
2.5,92,81604,80,1,0
2.62,12,9156,80,2,0
0.75,72,60624,443,1,0
3.8,80,31840,443,1,0
4.51,115,67390,443,2,0
0.9,3454,221056,3934,1,3
3.99,67,22445,443,2,0
3.21,139,23769,443,2,0
2.64,97,111744,80,2,0
1.83,56,12656,80,2,0
1.19,94,99170,443,1,0
1.51,110,42570,443,1,0
1.02,3707,237248,22938,1,3
12.2,11339,827747,80,1,1
1.42,2625,168000,50738,1,3
49.5,1693,176072,22,1,2
0.99,11,11792,443,1,0
1.69,3512,224768,19624,1,3
1.24,142,155916,443,1,0
0.83,57,11571,443,2,0
2.57,91,133042,80,1,0
3.64,27,8883,443,2,0
0.96,104,133016,80,2,0
4.94,115,27485,80,2,0
21.68,1085,187705,22,1,2
2.46,131,18995,80,1,0
0.19,97,53059,443,1,0
3.9,53,72398,80,1,0
0.77,93,48732,443,2,0
13.3,629,167943,22,1,2
2.04,77,11242,443,2,0
1.37,4214,269696,20589,1,3
19.16,8905,365105,80,1,1
4.36,92,112700,443,2,0
4.1,19,11723,80,2,0
56.22,1818,525402,22,1,2
10.96,8650,579550,80,1,1
15.42,11586,475026,80,1,1
16.29,12033,890442,80,1,1
3.97,75,34425,80,2,0
3.34,71,10224,80,1,0
0.9,18,3600,80,1,0
25.56,1002,270540,22,1,2
4.29,45,29340,443,1,0
3.56,96,13344,80,2,0
3.63,61,50142,443,2,0
2.85,78,51948,80,2,0
0.51,132,126456,443,2,0
17.89,7135,435235,80,1,1
4.18,131,156545,443,1,0
58.52,1504,224096,22,1,2
1.05,14,1666,443,1,0
4.25,88,35816,80,2,0
5.58,8207,771458,80,1,1
18.53,15637,1344782,80,1,1
2.82,105,36330,443,2,0
15.28,17883,733203,80,1,1
1.83,111,107892,80,2,0
4.62,119,163982,80,2,0
4.13,92,114172,80,2,0
3.59,42,18354,443,2,0
3.55,127,70485,443,1,0
1.36,37,16243,80,2,0
0.78,93,137733,80,2,0
2.2,66,92466,443,1,0
0.25,43,7181,443,2,0
1.43,2784,178176,3859,1,3
3.61,42,16296,80,2,0
4.41,122,51972,80,2,0
11.86,18739,1480381,80,1,1
2.29,108,62856,443,1,0
2.11,119,85204,443,1,0
2.34,31,12431,80,1,0
2.81,62,91698,80,1,0
0.79,3142,201088,62914,1,3
50.78,812,194880,22,1,2
4.44,16,6032,80,2,0
42.96,653,176310,22,1,2
53.15,582,142590,22,1,2
2.93,77,42889,443,1,0
59.71,820,82820,22,1,2
2.88,124,159836,80,2,0
36.42,1306,314746,22,1,2
39.6,1223,167551,22,1,2
3.33,87,56463,443,1,0
3.51,42,61992,80,1,0
4.91,97,111065,80,1,0
4.75,140,122640,80,2,0
37.66,1565,283265,22,1,2
47.22,1694,259182,22,1,2
2.89,140,169120,443,2,0
1.71,48,41904,443,1,0
3.69,46,20976,80,2,0
2.18,100,54100,443,1,0
3.96,27,35505,80,2,0
2.32,94,44368,80,1,0
0.5,4386,280704,59048,1,3
2.0,121,36421,443,2,0
4.04,114,104538,443,1,0
15.14,16299,1401714,80,1,1
1.81,25,27750,443,2,0
0.69,3255,208320,28385,1,3
0.47,3511,224704,25870,1,3
1.76,110,64460,443,1,0
1.67,129,61404,443,2,0
4.02,89,22072,443,2,0
0.64,54,74898,443,2,0
1.66,127,48387,80,2,0
3.27,79,10428,80,1,0
3.3,130,111410,80,2,0
3.36,89,123354,443,2,0
2.62,76,9652,80,1,0
1.88,3174,203136,52575,1,3
3.21,62,6386,443,1,0
1.2,118,88972,443,2,0
4.77,88,16896,443,2,0
0.93,2535,162240,35511,1,3
3.36,46,56994,80,1,0
2.72,139,17931,443,2,0
12.63,18187,1582269,80,1,1
2.82,116,108576,80,1,0
7.26,16884,1164996,80,1,1
0.11,55,81015,80,1,0
0.82,150,155100,80,1,0
